104,现在开庭
105,似水年华
106,动感剧场
107,百姓故事
108,问问你的心
109,大宋提刑官
110,陈云在临江
111,向阳照相馆,影楼麻辣烫
112,金苹果
113,半边天
114,大风车
115,当代工人
117,点播时间
118,电视你我他
119,东方时空
120,动画城
121,纪实十分
124,讲述
125,焦点访谈
127,军事天地
128,开心辞典
129,科技博览
130,媒体广场
131,魅力12
132,梦想剧场
133,轻松十分
134,曲苑杂坛
135,全明星猜想
136,人与自然
137,三星智力快车
138,探索·发现
139,天气·资讯
140,天天饮食
141,同乐五洲
142,同一首歌
143,外国文艺
144,晚间新闻
145,新闻30分
146,新闻早8点
147,新闻联播,中央台新闻联播
148,幸运52
149,演艺竞技场
150,艺术人生
151,整点新闻
152,正大综艺
154,中华民族
155,周日影院
156,走近科学
157,超市大赢家,快乐主妇
158,第一时间
159,对话
160,非常6+1
161,红河地球故事
162,欢乐家庭
163,健康之路
164,金土地
165,经济半小时
166,经济信息联播
167,经济与法
168,绝对挑战
170,劳动·就业
171,全球资讯榜
172,全国电视烹饪擂台赛
173,交换空间
174,为您服务
175,艺术品投资
176,中国财经报道
177,中国证券
178,巴哥正传
179,动物世界
180,国际艺苑
181,欢乐中国行
182,激情广场
183,快乐驿站
184,每日一歌
185,幕后
186,神州大舞台
187,世界各地
188,挑战主持人
189,文化访谈录
190,舞蹈世界
191,想挑战吗
192,新视听
194,星光大道
195,艺苑风景线
196,音画时尚
197,综艺快报
198,中国音乐电视
199,真情无限
200,与您相约
202,云淡天高
203,东方时尚
204,国宝档案
205,海峡两岸
206,互动星期天
207,华夏掠影
209,环球时讯
210,简明新闻
211,今日关注
212,两岸万事通
213,闽南话时间
214,名将之约
215,走遍中国
216,中华医药
217,中国新闻
218,中国文艺
219,学汉语
220,新闻60分
221,夕阳红
223,天涯共此时
224,体育在线
225,台湾百科
226,实话实说
227,神州戏坛
228,让世界了解你
231,全国女足超级联赛
232,世界一级方程锦标赛,世界一级方程锦标赛,一级方程锦标赛,一级方程式锦标赛,F1世界赛车锦标赛,F1锦标赛
233,世界职业拳王争霸赛
234,NBA赛场
236,北京2008
238,巅峰时刻
239,顶级赛事
240,健身房
241,棋牌乐
243,实况足球
244,体坛快讯
245,体育报道
246,奥运岁月
247,体育世界
248,体育商城
249,足球之夜
250,足球彩经
